;school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
2.0;GP;F;15;U;LE3;T;1;1;at_home;other;other;mother;1;2;3;yes;no;yes;no;yes;yes;yes;no;4;3;2;2;3;3;10;7;8;10
18.0;GP;M;17;U;GT3;T;3;2;services;services;course;mother;1;1;3;no;yes;no;yes;yes;yes;yes;no;5;5;5;2;4;5;16;6;5;5
25.0;GP;F;16;U;GT3;T;2;2;services;services;home;mother;1;1;2;no;yes;yes;no;no;yes;yes;no;1;2;2;1;3;5;14;6;9;8
29.0;GP;M;16;U;GT3;T;4;4;teacher;teacher;home;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;yes;4;4;5;5;5;5;16;10;12;11
40.0;GP;F;16;U;LE3;T;2;2;other;other;home;mother;2;2;1;no;yes;no;yes;no;yes;yes;yes;3;3;3;1;2;3;25;7;10;11
44.0;GP;F;16;U;LE3;T;2;2;other;at_home;course;father;2;2;1;yes;no;no;yes;yes;yes;yes;no;4;3;3;2;2;5;14;10;10;9
74.0;GP;F;16;U;GT3;T;3;3;other;services;home;mother;1;2;0;yes;yes;yes;yes;yes;yes;yes;no;4;3;3;2;4;5;54;11;12;11
89.0;GP;M;16;U;LE3;A;4;4;teacher;health;reputation;mother;1;2;0;no;yes;no;no;yes;yes;no;no;4;1;3;3;5;5;18;8;6;7
100.0;GP;M;16;U;GT3;T;4;4;services;services;other;mother;1;1;0;yes;yes;yes;yes;yes;yes;yes;no;4;5;5;5;5;4;14;7;7;5
103.0;GP;F;15;U;GT3;T;3;2;services;other;home;mother;2;2;0;yes;yes;yes;no;yes;yes;yes;no;4;3;5;1;1;2;26;7;6;6
118.0;GP;M;17;R;GT3;T;1;3;other;other;course;father;3;2;1;no;yes;no;yes;yes;yes;yes;no;5;2;4;1;4;5;20;9;7;8
123.0;GP;M;16;U;GT3;T;4;4;health;other;course;mother;1;1;0;no;yes;no;yes;yes;yes;yes;no;3;4;4;1;4;5;18;14;11;13
132.0;GP;F;17;U;LE3;T;2;2;other;other;course;father;1;1;0;no;yes;no;no;yes;yes;yes;yes;3;4;4;1;3;5;12;10;13;12
133.0;GP;F;16;U;GT3;A;3;4;services;other;course;father;1;1;0;no;no;no;no;yes;yes;yes;no;3;2;1;1;4;5;16;12;11;11
165.0;GP;M;16;U;GT3;T;3;2;services;services;course;mother;2;1;1;no;yes;no;yes;no;no;no;no;4;5;2;1;1;2;16;12;11;12
183.0;GP;F;17;U;LE3;T;3;3;other;other;reputation;mother;1;2;0;no;yes;no;yes;yes;yes;yes;yes;5;3;3;2;3;1;56;9;9;8
184.0;GP;F;16;U;GT3;T;3;2;other;other;reputation;mother;1;2;0;no;yes;yes;no;yes;yes;yes;no;1;2;2;1;2;1;14;12;13;12
185.0;GP;M;17;U;GT3;T;3;3;services;services;other;mother;1;2;0;no;yes;no;yes;yes;yes;yes;yes;4;3;4;2;3;4;12;12;12;11
192.0;GP;M;17;U;GT3;T;1;2;at_home;services;other;other;2;2;0;no;no;yes;yes;no;yes;yes;no;4;4;4;4;5;5;12;7;8;8
198.0;GP;F;17;U;GT3;T;4;4;services;teacher;home;mother;2;1;1;no;yes;no;no;yes;yes;yes;no;4;2;4;2;3;2;24;18;18;18
203.0;GP;F;17;R;GT3;T;2;2;other;other;reputation;mother;1;1;0;no;yes;no;no;yes;yes;yes;no;5;3;2;1;2;3;18;7;6;6
205.0;GP;F;17;U;GT3;T;3;4;at_home;services;home;mother;1;3;1;no;yes;yes;no;yes;yes;yes;yes;4;4;3;3;4;5;28;10;9;9
211.0;GP;M;17;U;LE3;T;4;4;services;other;home;mother;1;2;0;no;yes;yes;no;yes;yes;yes;yes;5;3;5;4;5;3;13;12;12;13
213.0;GP;M;18;U;GT3;T;2;2;services;other;home;mother;1;2;1;no;yes;yes;yes;yes;yes;yes;no;4;4;4;2;4;5;15;6;7;8
214.0;GP;F;17;R;LE3;T;4;4;services;other;other;mother;1;1;0;no;yes;yes;no;yes;yes;no;no;5;2;1;1;2;3;12;8;10;10
216.0;GP;F;17;U;GT3;T;4;3;other;other;reputation;mother;1;2;2;no;no;yes;no;yes;yes;yes;yes;3;4;5;2;4;1;22;6;6;4
217.0;GP;M;18;U;LE3;T;3;3;services;health;home;father;1;2;1;no;yes;yes;no;yes;yes;yes;no;3;2;4;2;4;4;13;6;6;8
225.0;GP;F;18;R;GT3;T;3;1;other;other;reputation;mother;1;2;1;no;no;no;yes;yes;yes;yes;yes;5;3;3;1;1;4;16;9;8;7
228.0;GP;M;18;U;LE3;T;2;1;at_home;other;course;mother;4;2;0;yes;yes;yes;yes;yes;yes;yes;yes;4;3;2;4;5;3;14;10;8;9
230.0;GP;F;17;U;LE3;T;4;3;health;other;reputation;father;1;2;0;no;no;no;yes;yes;yes;yes;yes;3;2;3;1;2;3;14;13;13;14
232.0;GP;M;17;U;GT3;T;4;4;teacher;teacher;reputation;mother;1;2;0;yes;yes;no;yes;yes;yes;yes;yes;4;5;5;1;3;2;14;11;9;9
234.0;GP;M;16;U;LE3;T;1;1;other;other;home;mother;2;2;0;no;yes;yes;no;yes;yes;yes;no;3;4;2;1;1;5;18;9;7;6
237.0;GP;F;16;U;GT3;T;2;1;other;other;home;mother;1;1;0;no;no;no;no;yes;yes;yes;yes;4;5;2;1;1;5;20;13;12;12
240.0;GP;M;17;U;LE3;T;4;3;health;other;course;mother;2;2;0;no;no;no;yes;yes;yes;yes;yes;2;5;5;1;4;5;14;12;12;12
247.0;GP;M;22;U;GT3;T;3;1;services;services;other;mother;1;1;3;no;no;no;no;no;no;yes;yes;5;4;5;5;5;1;16;6;8;8
260.0;GP;F;18;U;GT3;T;4;3;services;other;home;father;1;2;0;no;yes;yes;no;yes;yes;yes;yes;3;1;2;1;3;2;21;17;18;18
265.0;GP;M;18;R;LE3;A;3;4;other;other;reputation;mother;2;2;0;no;yes;yes;yes;yes;yes;yes;no;4;2;5;3;4;1;13;17;17;17
268.0;GP;M;18;U;GT3;T;4;2;health;other;reputation;father;1;2;0;no;yes;yes;yes;yes;yes;yes;yes;5;4;5;1;3;5;10;10;9;10
270.0;GP;F;19;U;GT3;T;3;3;other;services;home;other;1;2;2;no;yes;yes;yes;yes;yes;yes;no;4;3;5;3;3;5;15;9;9;9
276.0;GP;F;18;R;GT3;A;3;2;other;services;home;mother;2;2;0;no;no;no;no;no;no;yes;yes;4;1;1;1;1;5;75;10;9;9
277.0;GP;M;18;U;GT3;T;4;4;teacher;services;home;mother;2;1;0;no;no;yes;yes;yes;yes;yes;no;3;2;4;1;4;3;22;9;9;9
278.0;GP;F;18;U;GT3;T;4;4;health;health;reputation;father;1;2;1;yes;yes;no;yes;yes;yes;yes;yes;2;4;4;1;1;4;15;9;8;8
280.0;GP;M;17;U;LE3;A;4;1;services;other;home;mother;2;1;0;no;no;yes;yes;yes;yes;yes;yes;4;5;4;2;4;5;30;8;8;8
281.0;GP;M;17;U;LE3;A;3;2;teacher;services;home;mother;1;1;1;no;no;no;no;yes;yes;yes;no;4;4;4;3;4;3;19;11;9;10
290.0;GP;M;18;U;GT3;T;4;2;teacher;other;home;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;yes;4;3;2;1;4;5;11;12;11;11
292.0;GP;F;18;U;LE3;T;2;1;services;at_home;reputation;mother;1;2;1;no;no;no;no;yes;yes;yes;yes;5;4;3;1;1;5;12;12;12;13
300.0;GP;F;18;U;LE3;A;4;4;health;other;home;mother;1;2;0;no;yes;no;no;yes;yes;yes;yes;4;2;4;1;1;4;14;12;10;11
304.0;GP;M;19;U;GT3;T;3;3;other;other;home;other;1;2;1;no;yes;no;yes;yes;yes;yes;yes;4;4;4;1;1;3;20;15;14;13
307.0;GP;M;19;U;GT3;T;4;4;teacher;services;reputation;other;2;1;1;no;yes;yes;no;yes;yes;yes;yes;4;3;4;1;1;4;38;8;9;8
309.0;GP;F;19;U;LE3;T;1;1;at_home;other;reputation;other;1;2;1;yes;yes;no;yes;no;yes;yes;no;4;4;3;1;3;3;18;12;10;10
311.0;GP;F;19;U;GT3;T;2;1;at_home;other;other;other;3;2;0;no;yes;no;no;yes;no;yes;yes;3;4;1;1;1;2;20;14;12;13
313.0;GP;F;19;U;LE3;T;3;2;services;other;reputation;other;2;2;1;no;yes;yes;no;no;yes;yes;yes;4;2;2;1;2;1;22;13;10;11
314.0;GP;F;19;U;GT3;T;1;1;at_home;health;home;other;1;3;2;no;no;no;no;no;yes;yes;yes;4;1;2;1;1;3;14;15;13;13
315.0;GP;F;19;R;GT3;T;2;3;other;other;reputation;other;1;3;1;no;no;no;no;yes;yes;yes;yes;4;1;2;1;1;3;40;13;11;11
320.0;GP;F;17;U;GT3;A;4;3;services;services;course;mother;1;2;0;no;yes;yes;no;yes;yes;yes;yes;5;2;2;1;2;5;23;13;13;13
335.0;GP;F;17;U;GT3;T;3;4;services;other;course;mother;1;3;0;no;no;no;no;yes;yes;yes;no;4;4;5;1;3;5;16;16;15;15
336.0;GP;F;19;R;GT3;A;3;1;services;at_home;home;other;1;3;1;no;no;yes;no;yes;yes;no;no;5;4;3;1;2;5;12;14;13;13
349.0;MS;M;18;R;GT3;T;3;2;other;other;course;mother;2;1;1;no;yes;no;no;no;yes;yes;no;2;5;5;5;5;5;10;11;13;13
350.0;MS;M;19;R;GT3;T;1;1;other;services;home;other;3;2;3;no;no;no;no;yes;yes;yes;no;5;4;4;3;3;2;8;8;7;8
373.0;MS;F;17;R;GT3;T;1;2;other;other;course;mother;1;1;0;no;no;no;yes;yes;yes;yes;no;3;5;5;1;3;1;14;6;5;5
379.0;MS;F;17;R;GT3;T;3;1;at_home;other;reputation;mother;1;2;0;no;yes;yes;yes;no;yes;yes;no;4;5;4;2;3;1;17;10;10;10
384.0;MS;M;18;R;GT3;T;4;2;other;other;home;father;2;1;1;no;no;yes;no;yes;yes;no;no;5;4;3;4;3;3;14;6;5;5
390.0;MS;M;20;U;LE3;A;2;2;services;services;course;other;1;2;2;no;yes;yes;no;yes;yes;no;no;5;5;4;4;5;4;11;9;9;9
